Date,Open,High,Low,Close,Adj Close,Volume
2004-08-19,2.4789227139957437,2.5795669664074317,2.378775119276231,2.487351894378662,897427216,2.487351894378662
2004-08-20,2.5039601352021816,2.704009486479198,2.491318025747808,2.684921979904175,458857488,2.684921979904175
2004-08-23,2.745407624547281,2.8130821633227225,2.7032662285205014,2.711942195892334,366857939,2.711942195892334
2004-08-24,2.757554051725721,2.7664777540372483,2.5674205332546642,2.599646806716919,306396159,2.599646806716919
2004-08-25,2.6018774896414363,2.677237525366846,2.5751051950679495,2.6276583671569824,184645512,2.6276583671569824
2004-08-26,2.601629425624718,2.6759973298039843,2.5944405843804548,2.6750059127807617,142572401,2.6750059127807617
2004-08-27,2.6797155563041257,2.6926063496838117,2.619973548836893,2.6313765048980713,124826132,2.6313765048980713
2004-08-30,2.6098095495015827,2.615016031020584,2.528749465942383,2.528749465942383,104429967,2.528749465942383
2004-08-31,2.5359386122575525,2.5708909260057577,2.532467940877796,2.5376734733581543,98825037,2.5376734733581543
2004-09-01,2.5458537233053944,2.552546855851902,2.4707423770949672,2.4851202964782715,183633734,2.4851202964782715
2004-09-02,2.4588438297453794,2.537673586698253,2.4526461681054883,2.516354560852051,303810504,2.516354560852051
2004-09-03,2.5024733706195215,2.5220565866735667,2.462066599345892,2.479170560836792,103538639,2.479170560836792
2004-09-07,2.5039600632231833,2.5285017864853403,2.4692554852394304,2.518090009689331,117506800,2.518090009689331
2004-09-08,2.497266830628467,2.554035067097877,2.491318091041826,2.5359387397766113,100186120,2.5359387397766113
2004-09-09,2.541639486065801,2.546101336921732,2.503712211375315,2.5361862182617188,81620792,2.5361862182617188
2004-09-10,2.518585893064906,2.6415405924518396,2.511149078618978,2.6110498905181885,174804764,2.6110498905181885
2004-09-13,2.643275131073944,2.6874000665382485,2.6390610158337693,2.664841890335083,157628624,2.664841890335083
2004-09-14,2.663602964124677,2.776393854724069,2.6472414983609216,2.763751745223999,217608605,2.763751745223999
2004-09-15,2.7406978937893407,2.831674051559623,2.731773242081179,2.7763938903808594,215279909,2.7763938903808594
2004-09-16,2.784821684516682,2.870592303439616,2.7677177248170644,2.825228214263916,186207345,2.825228214263916
2004-09-17,2.8363835538806077,2.912487030029297,2.814816793152948,2.912487030029297,190350817,2.912487030029297
2004-09-20,2.8991007393352257,3.0143706535580828,2.8946388878773615,2.9588427543640137,213585582,2.9588427543640137
2004-09-21,2.969997846047282,2.985119210182616,2.9129828237297737,2.9211630821228027,145262446,2.9211630821228027
2004-09-22,2.910255814298576,2.966527154816004,2.895629921485003,2.9345486164093018,152344894,2.9345486164093018
2004-09-23,2.945952673732343,3.039903553786391,2.9008353693781435,2.995035171508789,171524515,2.995035171508789
2004-09-24,2.9980090559573203,3.0763431040342137,2.9687586938987334,2.9704935550689697,183336625,2.9704935550689697
2004-09-27,2.963799905068929,2.9965218847352646,2.9201716271238585,2.931574583053589,141994242,2.931574583053589
2004-09-28,3.0069337233345697,3.1581473535684914,2.9799136956623493,3.144761800765991,340190355,3.144761800765991
2004-09-29,3.1407957120906054,3.347041767344324,3.1291447828363608,3.2493724822998047,613229953,3.2493724822998047
2004-09-30,3.2201212073991945,3.2796154858654796,3.197810763988842,3.212684392929077,276468402,3.212684392929077
2004-10-01,3.242431305497455,3.3277064588544305,3.1953314029908992,3.2865564823150635,303934969,3.2865564823150635
2004-10-04,3.352743963197147,3.3929018116769245,3.322500285261268,3.3480331897735596,261693228,3.3480331897735596
2004-10-05,3.338118319743066,3.4340518018486925,3.278128333238269,3.4300856590270996,300887589,3.4300856590270996
2004-10-06,3.4097589354484423,3.43206914096375,3.3713359487410313,3.3981080055236816,268900140,3.3981080055236816
